State,WHITESPACE,*,+,-,/,%,^,+=,-=,++,--,<,<=,>,>=,=,==,!=,||,&&,~,main,id,num,string,character,int,char,float,double,void,cin,cout,while,for,if,else,break,return,[,],{,},(,),",",;,<<<,>>>,>>,<<,$
90,,,s152,s151,,,,,,r51,r51,r51,r51,r51,r51,,r51,r51,r51,r51,,,r51,,,,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,,r51,r51,r51,,r51,r51,r51,,,,r51,
91,,s155,r54,r54,s154,s153,,,,r54,r54,r54,r54,r54,r54,,r54,r54,r54,r54,,,r54,,,,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,r54,r54,r54,,r54,r54,r54,,,,r54,
92,,r58,r58,r58,r58,r58,,,,r58,r58,r58,r58,r58,r58,,r58,r58,r58,r58,,,r58,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,r58,r58,r58,,r58,r58,r58,,,,r58,
93,,r60,r60,r60,r60,r60,s156,,,r60,r60,r60,r60,r60,r60,,r60,r60,r60,r60,,,r60,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,,r60,r60,r60,,r60,r60,r60,,,,r60,
94,,,,,,,,,,,,,,,,,,,,,,,s157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,s158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,s159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,r69,r69,r69,r69,r69,r69,,,s162,s163,r69,r69,r69,r69,,r69,r69,r69,r69,,,r69,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,s161,r69,r69,r69,s160,r69,r69,r69,,,,r69,
98,,r68,r68,r68,r68,r68,r68,,,r68,r68,r68,r68,r68,r68,,r68,r68,r68,r68,,,r68,,,,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,,r68,r68,r68,,r68,r68,r68,,,,r68,
99,,r70,r70,r70,r70,r70,r70,,,r70,r70,r70,r70,r70,r70,,r70,r70,r70,r70,,,r70,,,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,r70,r70,r70,,r70,r70,r70,,,,r70,
